Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Order,Summary,Body,Duration,Price,Number req,List thumbnail,Hero background,Hero attribution,Category,Sub Category,Video,meta-description
ATM Cave,atm-cave,5c684cb846b367fa86f2e403,5c684cb846b367345df2e501,Sat Jan 05 2019 14:21:50 GMT+0000 (Coordinated Universal Time),Wed Jul 03 2024 20:48:31 GMT+0000 (Coordinated Universal Time),Wed Jul 03 2024 21:52:06 GMT+0000 (Coordinated Universal Time),,"Experience the cave of the stone sepulcher (ATM Cave), a subterranean cathedral in the heart of Cayo that features rare artifacts and mineralized human remains that date back hundreds of years. ‍","<p id="""">(AIR/LAND)</p><p id="""">Experience the cave of the stone sepulcher, a subterranean cathedral in the heart of Cayo that features rare artifacts and mineralized human remains that date back hundreds of years. Trip includes round-trip airfare on Tropic Air, fully guided tour by expert tour operator PACZ, land transfer to and from the cave, entrance fees, and lunch. Swimming required.</p><p id="""">(BOAT/LAND)</p><p id="""">Travel by boat then land. Same basic details once you get there. </p><p id="""">‍</p>",Depart EP 7am – return approximately 5pm,"(AIR/LAND) US $445 per person, (BOAT/LAND) $330 per person",,https://uploads-ssl.webflow.com/57fa7f0754bcd3af639ff409/5c30bd7e121342b41d022d9e_5bb4e6fc096def208bfac629_1280px-Actun_tunichil_muknal-pottery.jpeg,https://uploads-ssl.webflow.com/57fa7f0754bcd3af639ff409/5c30bd7e121342b41d022d9e_5bb4e6fc096def208bfac629_1280px-Actun_tunichil_muknal-pottery.jpeg,"By Jkolecki [CC BY-SA 3.0 (https://creativecommons.org/licenses/by-sa/3.0) or GFDL (http://www.gnu.org/copyleft/fdl.html)], from Wikimedia Commons",Land,Cave,,Explore the ancient ATM Cave in Belize with El Pescador. Discover rare artifacts and mineralized human remains in this stunning subterranean cathedral. Book you
Catamaran Snorkeling  Trip to Caye Caulker,catamaran-snorkeling-trip-to-caye-caulker,5c684cb846b367fa86f2e403,5c684cb846b367ed74f2e502,Sat Jan 05 2019 14:21:51 GMT+0000 (Coordinated Universal Time),Wed Jul 03 2024 20:59:43 GMT+0000 (Coordinated Universal Time),Wed Jul 03 2024 21:52:06 GMT+0000 (Coordinated Universal Time),11,"Sail to our neighboring island of Caye Caulker, located 10 miles south of Ambergris Caye. Enjoy this quaint village. Snorkel the famous Hol Chan Marine Reserve, swim with nurse sharks and stingrays at Shark Ray Alley.","<p>Sail to our neighboring island of Caye Caulker, located 10 miles south of Ambergris Caye. Enjoy this quaint village. Snorkel the famous Hol Chan Marine Reserve, swim with nurse sharks and stingrays at Shark Ray Alley. Full day trip includes sodas, rum punch, and two snorkeling stops. It does not include lunch or park fees.</p><p>‍</p>",Depart EP 8:30am – return approximately 4:30pm,US $115 per person,,https://uploads-ssl.webflow.com/57fa7f0754bcd3af639ff409/5c30bd7f7569f55c34fba29f_5c2552f44fdbba8175bf5ee1_act-catamaran-jselser%2520(1%2520of%25201).jpeg,,,Sea,Saling,,"Sail to Caye Caulker from Ambergris Caye, snorkel at Hol Chan Marine Reserve, and swim with sharks and rays at Shark Ray Alley. Full day trip with two stops!"
Catamaran Sunset Sailing,catamaran-sunrise-or-sunset-sailing,5c684cb846b367fa86f2e403,5c684cb846b36737def2e503,Sat Jan 05 2019 14:21:51 GMT+0000 (Coordinated Universal Time),Wed Jul 03 2024 20:58:43 GMT+0000 (Coordinated Universal Time),Wed Jul 03 2024 21:52:06 GMT+0000 (Coordinated Universal Time),12,Enjoy sailing on a catamaran to watch the sunset over the clear Caribbean waters.,<p> Wind down for your day while you enjoy sailing on Catamaran to watch the sunset over the clear Caribbean waters.</p><p>Depart from El Pescador at 3:30 pm – return approximately 7:30 pm.</p>,Approx. 3 1/2 hours,US $45 per person,,https://uploads-ssl.webflow.com/57fa7f0754bcd3af639ff409/5c30bd7fcb585f2d7744d662_5c2556111110ec2f6b003104_act_sunset_AS_74185349.jpeg,,,Sea,Saling,,Relax and sail on a catamaran to watch the sunset over the Caribbean waters. Depart from El Pescador at 3:30 pm and return by 7:30 pm. Book your sunset cruise!
Cave Tubing and  Zipline Or Belize Zoo Or Xunantunich,cave-tubing-zipline-or-belize-zoo-or-xunantunich,5c684cb846b367fa86f2e403,5c684cb846b3672f22f2e504,Sat Jan 05 2019 14:21:51 GMT+0000 (Coordinated Universal Time),Wed Jul 03 2024 20:21:48 GMT+0000 (Coordinated Universal Time),Wed Jul 03 2024 21:52:06 GMT+0000 (Coordinated Universal Time),,"Travel by boat to the mainland where you will choose either zip lining through the rainforest, a visit to the Belize Zoo or exploring the Maya ruin of Xunantunich in the morning. After lunch, enjoy a refreshing tubing adventure down a river and through ancient Maya Caves. Return to the island via boat. Full day tour includes lunch.","<p id="""">Travel by boat to the mainland where you will choose either zip lining through the rainforest, a visit to the Belize Zoo or exploring the Maya ruin of Xunantunich in the morning. After lunch, enjoy a refreshing tubing adventure down a river and through ancient Maya Caves. Return to the island via boat. Full day tour includes lunch.</p><p id="""">Cave Tubing and Zipline (boat/land) US $220 per person</p><p id="""">Cave Tubing and Belize Zoo (boat/land) US $170 per person</p><p id="""">Cave Tubing and Xunantunich (boat/land) US $220 per person</p>",Depart EP 6:45am – return approximately 6pm,,,https://uploads-ssl.webflow.com/57fa7f0754bcd3af639ff409/5c30bd7f1213428442022da1_5c255e034fdbbaf0ccbf6b90_act_zipline_as_94767528.jpeg,,,Land,Ruins,,"Experience adventure in Belize with El Pescador. Choose zip lining, the Belize Zoo, or exploring Xunantunich, plus cave tubing. Full-day tour with lunch include"
Flats Fishing,flats-fishingi,5c684cb846b367fa86f2e403,5c684cb846b367580af2e505,Sat Jan 05 2019 14:21:52 GMT+0000 (Coordinated Universal Time),Wed Jul 03 2024 20:58:00 GMT+0000 (Coordinated Universal Time),Wed Jul 03 2024 21:52:06 GMT+0000 (Coordinated Universal Time),1,"El Pescador, means “The fisherman” and we specialize in light tackle, shallow water flats fishing for bonefish, permit and tarpon. Our guides are English speaking and experienced in guiding both fly and spin fishermen. One or two anglers per boat/guide.","<p>El Pescador, means “The fisherman” and we specialize in light tackle, shallow water flats fishing for bonefish, permit and tarpon. Our guides are English speaking and experienced in guiding both fly and spin fishermen. One or two anglers per boat/guide.</p>",Depart EP 7am - return 3pm,"Full Day - US $650 tax for up to 2 people, ",One or two per guide,https://uploads-ssl.webflow.com/57fa7f0754bcd3af639ff409/5c30bd80ff1c07631d9dc2e3_5c254ca13c78e5dc118d874f_act-flats-fishing-hg-1407.jpeg,,,Sea,Fishing,,"El Pescador specializes in light tackle, shallow water flats fishing for bonefish, permit, and tarpon. English-speaking guides for fly and spin fishermen. "
Great Blue Hole & Barrier Reef (Flight Only),great-blue-hole-barrier-reef-flight,5c684cb846b367fa86f2e403,5c684cb846b3675922f2e552,Sun Jan 06 2019 13:10:29 GMT+0000 (Coordinated Universal Time),Wed Jul 03 2024 20:51:17 GMT+0000 (Coordinated Universal Time),Wed Jul 03 2024 21:52:06 GMT+0000 (Coordinated Universal Time),9,"Enjoy miles of unspoiled beauty as you fly across the Belize Barrier Reef System to view secluded islands, mangrove-covered cayes, diverse marine life, and the famed Great Blue Hole, a UNESCO World Heritage site.","<p>Enjoy miles of unspoiled beauty as you fly across the Belize Barrier Reef System to view secluded islands, mangrove-covered cayes, diverse marine life, and the famed Great Blue Hole, a UNESCO World Heritage site.</p><p>Aircraft - Bell 206 Jet Ranger (max load 700 lbs)</p><p>Seating for: Four (4)</p><p>Departure from San Pedro</p><p>‍</p><p>‍</p>",1:06 to 1:24 hours,"$2,150",1,https://uploads-ssl.webflow.com/57fa7f0754bcd3af639ff409/5c3210f3ff1c077a7f9f142e_Astrum_Blue%2BHole%2B%26%2BHelicopter_108.jpg,https://uploads-ssl.webflow.com/57fa7f0754bcd3af639ff409/5c31fdef32c187fdae050152_adv_flight_bluehole_as_59560914.jpg,,Sea,Flight,https://youtu.be/RCCsZzRHEGs,"Fly over the Belize Barrier Reef System and marvel at secluded islands, mangroves, marine life, and the Great Blue Hole, a UNESCO World Heritage site. Book your"
Great Blue Hole & Barrier Reef Flight and Snorkel Dive Add-on,great-blue-hole-barrier-reef-flight-and-snorkel-dive-addon,5c684cb846b367fa86f2e403,5c684cb846b3674157f2e553,Sun Jan 06 2019 13:22:35 GMT+0000 (Coordinated Universal Time),Wed Jul 03 2024 20:50:44 GMT+0000 (Coordinated Universal Time),Wed Jul 03 2024 21:52:06 GMT+0000 (Coordinated Universal Time),9,"Enjoy miles of unspoiled beauty as you fly across the Belize Barrier Reef System to view secluded islands, mangrove-covered cayes, diverse marine life, and the famed Great Blue Hole, a UNESCO World Heritage site. ","<p>Disembark at a private Caye, where a waiting boat will whisk you away to either diving or snorkeling adventures at three amazing sites: Great Blue Hole, Half Moon Caye, and The Aquarium.</p><p>Aircraft - Bell 206 Jet Ranger (max load 700 lbs) .</p><p>Seating for: Four (4)</p><p>Departure from San Pedro</p><p>Lunch Included</p><p>Note: Bell 407 available for additional fee (max load 1100 lbs. with seating for six).</p><p>‍</p>",,"Add-on Price $5,400 ($7,550 total)",1,https://uploads-ssl.webflow.com/57fa7f0754bcd3af639ff409/5c31fe1cff1c0742cf9f0845_adv_flight_bluehole_as_59560914%400%2C5x.jpg,https://uploads-ssl.webflow.com/57fa7f0754bcd3af639ff409/5c31fdef32c187fdae050152_adv_flight_bluehole_as_59560914.jpg,,Sea,Flight,,"Soar over the Belize Barrier Reef System and view secluded islands, mangroves, marine life, and the Great Blue Hole, a UNESCO World Heritage site. Experience th"
Kayak San Pedro Lagoon,kayak-san-pedro-lagoon,5c684cb846b367fa86f2e403,5c684cb846b367d058f2e506,Sat Jan 05 2019 14:21:52 GMT+0000 (Coordinated Universal Time),Tue Jun 25 2024 22:54:58 GMT+0000 (Coordinated Universal Time),,2,"A two or four hours guided interpretive kayaking tour of the San Pedro lagoon. Experience the beauty of mangrove lagoons, birds, fish, flora and fauna.","<p>A two or four hours guided interpretive kayaking tour of the San Pedro lagoon. Experience the beauty of mangrove lagoons, birds, fish, flora and fauna.</p>",AM departs EP 9am – PM departs EP 2pm,US $50 per person x per hour. Two hour minimum.,,https://uploads-ssl.webflow.com/57fa7f0754bcd3af639ff409/5c30bd801213426d25022da4_5c254d224fdbba2013bf5a53_act-kayak-dbl1477.jpeg,,,Sea,,,
Lamanai and New River Excursion (Air/Land),lamanai-and-new-river-air-land,5c684cb846b367fa86f2e403,5c684cb846b367b919f2e507,Sat Jan 05 2019 14:21:52 GMT+0000 (Coordinated Universal Time),Wed Jul 03 2024 20:57:24 GMT+0000 (Coordinated Universal Time),Wed Jul 03 2024 21:52:06 GMT+0000 (Coordinated Universal Time),,With this shorter excursion you will travel by air to the ancient Maya City of Lamanai. ,"<p>Visit the ancient Maya City of Lamanai (submerged crocodile). Tour temples and carved stone monuments nestled in the tropical jungle. The excavations done at Lamanai show a variety of structures including temples, residences and palace buildings. Full day tour includes a light breakfast, lunch, entrance fees, water, sodas, and rum punch.</p><p>You will be flown from San Pedro to inland Belize close to Lamanai where you will take quick journey by tour bus to the site. </p>",Depart EP 7:15am – return approximately 3pm,US $300 per person,,https://uploads-ssl.webflow.com/57fa7f0754bcd3af639ff409/5c30bd80edb5fde557b17455_5c255c9b9a157501e0862692_act_lam-AS_79419028.jpeg,,,Land,Ruins,,"Discover the ancient Maya City of Lamanai with a full-day tour. Fly from San Pedro, tour temples and monuments, and enjoy breakfast, lunch, and drinks. Book now"
Lamanai New River Excursion (Boat/Land),lamanai-new-river-excursion,5c684cb846b367fa86f2e403,5c684cb846b3677a5bf2e51e,Sat Jan 05 2019 14:21:53 GMT+0000 (Coordinated Universal Time),Wed Jul 03 2024 20:56:36 GMT+0000 (Coordinated Universal Time),Wed Jul 03 2024 21:52:06 GMT+0000 (Coordinated Universal Time),,An exceptionally clear and unspoiled river leads you to the New River lagoon and the ancient Maya City of Lamanai.,"<p>An exceptionally clear and unspoiled river leads you to the New River lagoon and the ancient Maya City of Lamanai (submerged crocodile). Tour temples and carved stone monuments nestled in the tropical jungle. The excavations done at Lamanai show a variety of structures including temples, residences and palace buildings. Birdwatchers—this one is for you! Full day tour includes a light breakfast, lunch, entrance fees, water, sodas, and rum punch.</p><p>You will travel by boat up the New River and then disembark for your tour of Lamanai. </p>",Depart EP 6:45am – return approximately 6pm,US $195 per person,,https://uploads-ssl.webflow.com/57fa7f0754bcd3af639ff409/5c30bd81edb5fddf32b17458_5c255d523c78e587c28d9cb4_act_lamanai-as_62104928.jpeg,,,Land,Ruins,,"Explore the ancient Maya City of Lamanai on a full-day tour. Journey by boat up the New River, see temples and monuments, and enjoy birdwatching. Book Now!"
